,importance
0,LotArea
1,GrLivArea
2,TotalBsmtSF
3,BsmtFinSF1
4,1stFlrSF
5,GarageArea
6,YearBuilt
7,BsmtUnfSF
8,LotFrontage
9,YearRemodAdd
10,WoodDeckSF
11,OpenPorchSF
12,GarageYrBlt
13,MasVnrArea
14,MoSold
15,OverallQual
16,2ndFlrSF
17,YrSold
18,EnclosedPorch
19,OverallCond
20,TotRmsAbvGrd
21,ScreenPorch
22,x8_22.0
23,BsmtFinSF2
24,FullBath
25,x4_1.0
26,x33_2.0
27,BedroomAbvGr
28,x23_2.0
29,GarageCars
30,x3_3.0
31,x0_3.0
32,Fireplaces
33,x9_2.0
34,x41_8.0
35,x6_0.0
36,x8_15.0
37,x6_4.0
38,x0_0.0
39,x42_0.0
40,x3_0.0
41,x30_0.0
42,x15_8.0
43,x18_3.0
44,x24_2.0
45,x23_1.0
46,x3_1.0
47,x20_2.0
48,x42_4.0
49,x2_0.0
50,x27_4.0
51,x23_4.0
52,x8_7.0
53,x21_4.0
54,x21_1.0
55,x8_5.0
56,x9_0.0
57,x8_3.0
58,BsmtFullBath
59,x42_5.0
60,x0_2.0
61,x0_4.0
62,x8_6.0
63,x4_0.0
64,x24_3.0
65,x18_2.0
66,KitchenAbvGr
67,3SsnPorch
68,x33_4.0
69,x32_4.0
70,x24_1.0
71,x34_2.0
72,x15_5.0
73,x12_2.0
74,x8_11.0
75,x15_13.0
76,x15_6.0
77,x33_6.0
78,x37_2.0
79,x31_6.0
80,x27_2.0
81,x22_2.0
82,x32_0.0
83,x8_14.0
84,x24_4.0
85,x13_3.0
86,x17_2.0
87,x6_2.0
88,x24_6.0
89,x39_3.0
90,x8_16.0
91,x8_19.0
92,x22_4.0
93,x16_13.0
94,x16_6.0
95,x6_1.0
96,x21_3.0
97,x17_4.0
98,x35_3.0
99,x17_3.0
100,HalfBath
101,x16_14.0
102,x16_8.0
103,x20_0.0
104,x28_0.0
105,x34_3.0
106,x0_1.0
107,x19_1.0
108,x35_2.0
109,x4_3.0
110,x43_10.0
111,x30_3.0
112,x32_3.0
113,x8_0.0
114,x31_1.0
115,x32_5.0
116,x43_5.0
117,x25_2.0
118,x37_1.0
119,x8_21.0
120,x27_0.0
121,x15_12.0
122,x31_4.0
123,x43_8.0
124,x11_2.0
125,x15_3.0
126,x11_0.0
127,x13_1.0
128,x8_12.0
129,x28_1.0
130,x16_10.0
131,x8_10.0
132,x41_3.0
133,x2_1.0
134,x43_4.0
135,x16_11.0
136,x32_2.0
137,x24_5.0
138,x21_2.0
139,x11_4.0
140,x39_4.0
141,x9_4.0
142,x33_3.0
143,x12_0.0
144,x17_0.0
145,x16_12.0
146,BsmtHalfBath
147,x15_9.0
148,x4_2.0
149,x39_1.0
150,x12_7.0
151,x16_3.0
152,x39_0.0
153,x12_5.0
154,x8_18.0
155,x8_4.0
156,x22_1.0
157,x3_2.0
158,x7_1.0
159,x43_9.0
160,x34_1.0
161,x7_2.0
162,x7_0.0
163,x18_0.0
164,x42_3.0
165,x25_5.0
166,x9_5.0
167,x39_2.0
168,x16_15.0
169,x29_5.0
170,x31_2.0
171,x8_20.0
172,x16_7.0
173,x33_0.0
174,x15_11.0
175,x23_3.0
176,x19_4.0
177,x8_9.0
178,x8_24.0
179,x2_2.0
180,PoolArea
181,x43_0.0
182,x12_4.0
183,x16_5.0
184,x20_1.0
185,x14_1.0
186,x1_0.0
187,x41_6.0
188,x34_0.0
189,x14_0.0
190,x14_7.0
191,x27_1.0
192,x35_5.0
193,x8_17.0
194,x14_2.0
195,x9_6.0
196,x41_5.0
197,x12_1.0
198,x29_2.0
199,x36_2.0
200,x16_0.0
201,x43_3.0
202,x35_0.0
203,x11_1.0
204,x12_6.0
205,x37_0.0
206,x30_1.0
207,x8_8.0
208,x41_7.0
209,x13_0.0
210,x29_1.0
211,x1_1.0
212,x19_2.0
213,x30_2.0
214,x9_1.0
215,x13_4.0
216,x33_5.0
217,x42_2.0
218,LowQualFinSF
219,x32_1.0
220,x10_2.0
221,x20_3.0
222,x38_0.0
223,x19_0.0
224,x41_2.0
225,x43_12.0
226,x38_3.0
227,x12_3.0
